KODE,KATEGORI OBJEK,TAHUN LELANG,PROVINSI,KOTA,KPKNL,kategori_lokasi_jan_jun,kategori_lokasi_jul_des,MEREK,TIPE,TAHUN PEMBUATAN,WARNA, HARGA LAKU 
DL3QUJ,Mobil ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Ford,Ranger 2.5 L,2009,Abu - abu,21000000
EBHE4G,Motor ,2022,SULAWESI SELATAN,KABUPATEN MAROS,KPKNL Makassar,3,3,Honda,GLP III,2005,Hitam,3250000
DC7UEI,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Suzuki,FD 125 XSD,2005,Merah Hitam,1725000
A6NSKR,Mobil ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Daihatsu,S93,2006,Putih,15950000
ZO3PNS,Mobil ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Toyota,KF 60,2003,Putih,23457777
PHMUKO,Mobil ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Samsung, SV110,2001,Putih,41111111
V8SCYK,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Kawasaki,Kaze R,2002,Silver Biru,2699999
R19HCK,Mobil ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Toyota,BU303R,2004,Silver,41999999
DKTFNU,Mobil ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Toyota,KF 60,1997,Putih,23456789
WZN0XM,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Suzuki,FD 125 XSD,2005,Merah Hitam,1525000
XKACNG,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Suzuki,FD 125 XSD,2001,Silver,1519999
PBJIEX,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Viar,VR 150 3R  ,2011,Merah,5800737
GQSE6X,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Suzuki,FD 125 XSD,2005,Merah Hitam,1750000
CZWE8R,Mobil ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Isuzu,TBR 541,2001,Biru Tua Metalik,62345678
1FMLTQ,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Suzuki,FD 110,2001,Silver,2550000
IQUKDR,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Suzuki,FD 125 XSD,2005,Merah Hitam,1725000
9ALR4E,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Yamaha,T 105 ERD,2005,Putih,2500000
NEDUCP,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Yamaha,T 105 ERD,2005,Putih,2500000
UXBGPI,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Yamaha,350,2006,Putih,2500000
REYQJ6,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Kawasaki,Kaze R,2002,Hitam,1669990
NGEMEI,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Suzuki,EN 125,2006,Putih,2300000
ALTIGG,Mobil ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Toyota,FG)1RM,2004,Biru Metalik,57898989
Y7LQLH,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Toyota,KF 60,2001,Silver Metalik,17550000
MOOASQ,Motor ,2022,JAWA TIMUR,KOTA MOJOKERTO,KPKNL Sidoarjo,1,2,Suzuki,FD 125 XSD,2005,Merah Hitam,2800000
F8MU5U,Motor ,2022,KALIMANTAN TIMUR,KOTA BALIKPAPAN,KPKNL Balikpapan,3,3,Suzuki,Shogun 125 cc,2008,Hitam,6880000
YAGV5F,Mobil ,2022,SUMATERA SELATAN,KOTA PRABUMULIH,KPKNL Palembang,3,3,Toyota,Camry W,2004,Silver,47250000
VYXATB,Motor ,2022,SUMATERA SELATAN,KOTA PRABUMULIH,KPKNL Palembang,3,3,Honda,Beat 110 cc,2019,Putih,8030000
ZWWE3K,Motor ,2022,SUMATERA SELATAN,KOTA PRABUMULIH,KPKNL Palembang,3,3,Honda,Genio,2019,Abu - abu ,8235000
ISZANW,Motor ,2022,SUMATERA SELATAN,KOTA PRABUMULIH,KPKNL Palembang,3,3,Yamaha,Jupiter Z,2004,Hitam Silver,1575000
SHTYE8,Motor ,2022,SUMATERA SELATAN,KOTA PRABUMULIH,KPKNL Palembang,3,3,Yamaha,Jupiter MX,2011,Biru,2660000
VYZ2SE,Motor ,2022,SUMATERA SELATAN,KOTA PRABUMULIH,KPKNL Palembang,3,3,Honda,Mega Pro,2007,Hitam,2700000
KHPOWN,Motor ,2022,SUMATERA SELATAN,KOTA PRABUMULIH,KPKNL Palembang,3,3,Honda,PCX,2020,Merah,19500000
HT0OZL,Motor ,2022,SUMATERA SELATAN,KOTA PRABUMULIH,KPKNL Palembang,3,3,Yamaha,Jupiter MX,2008,Hitam,1875000
FP4XLP,Motor ,2022,SUMATERA SELATAN,KOTA PRABUMULIH,KPKNL Palembang,3,3,Yamaha,Free Go,2019,Biru,7000000
A7FY0P,Motor ,2022,SUMATERA SELATAN,KOTA PRABUMULIH,KPKNL Palembang,3,3,Suzuki,Smash,2006,Hitam,1680000
VCLPUH,Motor ,2022,SUMATERA SELATAN,KOTA PRABUMULIH,KPKNL Palembang,3,3,Honda,Beat 110 cc,2017,Merah Putih,5600000
H3X4ST,Motor ,2022,KALIMANTAN SELATAN,KABUPATEN TAPIN,KPKNL Banjarmasin,3,3,Honda,GLM II,1997,Hitam,4752119
AHIJM7,Motor ,2022,JAWA TENGAH,KABUPATEN SUKOHARJO,KPKNL Surakarta,3,3,Honda,Revo CW 110 cc,2012,Hitam,4678999
YO5T26,Motor ,2022,JAWA TENGAH,KABUPATEN SUKOHARJO,KPKNL Surakarta,3,3,Honda,Revo CW 110 cc,2012,Hitam,4678999
ML3USM,Motor ,2022,JAWA TENGAH,KABUPATEN SUKOHARJO,KPKNL Surakarta,3,3,Honda,Revo CW 110 cc,2012,Hitam,5500000
6I2H9D,Motor ,2022,JAWA TENGAH,KABUPATEN SUKOHARJO,KPKNL Surakarta,3,3,Honda,Revo CW 110 cc,2012,Hitam,4678999
VLI8K9,Motor ,2022,MALUKU,KOTA AMBON,KPKNL Ambon,3,3,Honda,GL 160 D,2008,Hitam,2900000
EEHHA2,Mobil ,2022,MALUKU,KOTA AMBON,KPKNL Ambon,3,3,Toyota,Kijang  Super KF Long,1993,-,25000000
58GMM3,Motor ,2022,JAWA TENGAH,KABUPATEN WONOGIRI,KPKNL Surakarta,3,3,Honda,Supra X NF 100 D,2003,Hitam,2415000
S1BFBO,Motor ,2022,JAWA TENGAH,KABUPATEN WONOGIRI,KPKNL Surakarta,3,3,Yamaha,L2S,1976,Biru,2555555
YHM4MR,Mobil ,2022,JAWA TENGAH,KABUPATEN WONOGIRI,KPKNL Surakarta,3,3,Isuzu,TLD 56,1993,Kuning,19610000
IA3S2W,Motor ,2022,JAWA TENGAH,KABUPATEN WONOGIRI,KPKNL Surakarta,3,3,Honda,Win MCB,1989,Merah,5389898
RYXDJX,Motor ,2022,GORONTALO,KABUPATEN GORONTALO,KPKNL Gorontalo,3,3,Honda,Supra 125,2005,Hitam,3899000
ZIDYJK,Motor ,2022,SULAWESI SELATAN,KABUPATEN PANGKAJENE DAN KEPULAUAN,KPKNL Makassar,3,3,Honda,Astrea C100,1997,Hitam,870990
LNZCR1,Motor ,2022,GORONTALO,KABUPATEN GORONTALO,KPKNL Gorontalo,3,3,Yamaha,Jupiter Z,2005,Hitam Perak,3224000
KLCQXA,Mobil ,2022,JAWA TENGAH,KABUPATEN WONOGIRI,KPKNL Surakarta,3,3,Isuzu,TLD 56,1993,Kuning,18678900
AUDZNW,Mobil ,2022,SULAWESI SELATAN,KABUPATEN PANGKAJENE DAN KEPULAUAN,KPKNL Makassar,3,3,Toyota,Avanza 1.3CC,2010,Abu - abu Metalik,69229999
7HV1GV,Motor ,2022,JAWA TENGAH,KABUPATEN WONOGIRI,KPKNL Surakarta,3,3,Honda,Win MCB,1993,Hitam,5389898
BQXOUL,Motor ,2022,JAWA TENGAH,KABUPATEN WONOGIRI,KPKNL Surakarta,3,3,Suzuki,RC 100,1997,Biru,1289898
I49ZXM,Motor ,2022,JAWA TENGAH,KABUPATEN WONOGIRI,KPKNL Surakarta,3,3,Suzuki,A 100 X,1998,Hitam,2589898
AZXDQO,Motor ,2022,SULAWESI SELATAN,KABUPATEN PANGKAJENE DAN KEPULAUAN,KPKNL Makassar,3,3,Honda,GLP III 160 cc,2001,Hitam,1677777
EYLWPR,Motor ,2022,SULAWESI SELATAN,KABUPATEN PANGKAJENE DAN KEPULAUAN,KPKNL Makassar,3,3,Suzuki,Thunder EN 125,2006,Hitam,2155000
5BTGP4,Motor ,2022,JAWA TENGAH,KABUPATEN WONOGIRI,KPKNL Surakarta,3,3,Honda,GL100,1994,Hitam,4122228
PXR8VG,Mobil ,2022,JAWA TIMUR,KABUPATEN JEMBER,KPKNL Jember,3,3,Toyota,KF 52 STD,1995,Hijau Mutiara,20549999
GSKVMI,Motor ,2022,SULAWESI SELATAN,KABUPATEN PANGKAJENE DAN KEPULAUAN,KPKNL Makassar,3,3,Suzuki,FL 125 RCD 125CC,2009,Hitam,3000000
ZNCYBO,Mobil ,2022,SUMATERA UTARA,KABUPATEN ASAHAN,KPKNL Kisaran,3,3,Nissan,Grand Livina tipe 1.5 XV MT,2012,-,51357890
L6MQIX,Mobil ,2022,SULAWESI SELATAN,KABUPATEN LUWU TIMUR,KPKNL Palopo,3,3,Toyota,Avanza G,2005,Hitam Metalik,41199999
OTBHY2,Motor ,2022,DI YOGYAKARTA,KOTA YOGYAKARTA,KPKNL Yogyakarta,3,3,Honda,Scoopy,2014,Putih Kombinasi,7550000
OTRL7P,Motor ,2022,DI YOGYAKARTA,KOTA YOGYAKARTA,KPKNL Yogyakarta,3,3,Yamaha,Mio,2009,Hijau,2345678
OFAOXS,Motor ,2022,DI YOGYAKARTA,KOTA YOGYAKARTA,KPKNL Yogyakarta,3,3,Honda,Scoopy,2018,Cokelat Kombinasi,12501000
IMX4PT,Motor ,2022,DI YOGYAKARTA,KOTA YOGYAKARTA,KPKNL Yogyakarta,3,3,Honda,Scoopy,2018,Hitam Merah,11789564
ZAKVJG,Motor ,2022,SUMATERA UTARA,KOTA PEMATANG SIANTAR,KPKNL Pematang Siantar,3,3,Honda,Supra X NF 125 SD,2006,Hitam,5333333
3ALNPM,Motor ,2022,SUMATERA UTARA,KOTA PEMATANG SIANTAR,KPKNL Pematang Siantar,3,3,Honda,Mega Pro GL 160 D,2006,Hitam,6500555
URCAKJ,Motor ,2022,SUMATERA UTARA,KOTA PEMATANG SIANTAR,KPKNL Pematang Siantar,3,3,Honda,Supra X NF 125 SD,2006,Hitam,5323000
DNTKC0,Motor ,2022,SUMATERA UTARA,KOTA PEMATANG SIANTAR,KPKNL Pematang Siantar,3,3,Honda,Supra X NF 125 SD,2006,Hitam,5333443
JVTW5E,Motor ,2022,SUMATERA UTARA,KOTA PEMATANG SIANTAR,KPKNL Pematang Siantar,3,3,Yamaha,RX King,2004,Hitam Biru,20099999
H2YFTV,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1RR M/T, 150 cc",2011,Hitam Abu - abu,2150000
Z6FEYP,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1RR M/T, 150 cc",2012,Hitam,2345678
ZSTQ0H,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 11B1D M/T, 110 cc",2011,Hitam,1678999
VIGWYR,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL15A1RR M/T, 150 cc",2012,Hitam,3100000
UIO4PZ,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL15A1RR M/T, 150 cc",2012,Hitam Abu - abu,5175000
6SETIO,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,NF 125 TD,2011,Hitam,2750000
BLMNFU,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Toyota,Avanza 1300 G,2011,Hitam Metalik,70010171
BMIHQC,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1RR M/T, 150 cc",2010,Hitam Abu - abu,3055000
4OYKNH,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1D M/T, 150 cc",2011,Hitam Abu - abu,5750000
OMV2IB,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1RR M/T, 150 cc",2012,Biru Abu - abu,3789888
YHQEDF,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,NF 125 TD,2011,Hitam,5000000
T8XIHS,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1RR M/T, 150 cc",2012,Biru,4251555
SK1HCG,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 11C1C M/T, 110 cc",2011,Orange Hitam,5185000
EAAPMO,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Toyota,"Hilux Pick Up, 2.0, LMT, 1998 cc",2010,Hitam Metalik,73669000
VXNXTE,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1RR M/T, 150 cc",2013,Hitam,5099000
UXL1WF,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Toyota,Avanza 1300 G,2009,Hitam Metalik,68789000
0UWYJL,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 125 TD, 125 cc",2011,Hitam,3500000
UIZKG1,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Mitsubishi,"FE 73 HD, 3.908 cc",2010,Kuning,71899000
Y8BEHF,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 125 TD M/T, 125 cc",2012,Hitam,3500000
WC0LGZ,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 125 TR, 125 cc",2013,Hitam,4111000
YLGN4D,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL15A1RR M/T, 150 cc",2012,Hitam,5098550
VIY9UW,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NC F11A1CF A/NT, 110 cc",2011,Violet Silver,2899999
K2WV0X,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1D M/T, 150 cc",2013,Hitam,3456789
LGWRSE,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1D M/T, 150 cc",2012,Merah Hitam,6589000
AHSY0C,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Daihatsu,Pick Up S402RP-TMRFJJKP,2009,Hitam,32756800
JMQCYD,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,NF 125 TR,2012,Hitam,2679000
VPAXCR,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 125 TR, 125 cc",2012,Hitam,4050000
1FPDED,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Toyota,Avanza 1300 E ,2010,Hitam Metalik,62555000
ASNDEY,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 12A 1CF M/T, 125 cc",2013,Hijau Hitam,4100000
17ESHH,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1RR M/T, 150 cc",2012,Hitam,3977900
HWBFTC,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 11B2D1, 110 cc",2012,Hitam,2000000
2AHC5B,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 11B1D, 110 cc",2010,Hitam Silver,1123999
CVEOVW,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Isuzu,Elf NKR 55 2.771 cc,2012,Biru,36899999
AJ1OEW,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 11B2D1, 110 cc",2011,Hitam,2601600
PRJ6AF,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL15A1RR M/T (MEGA PRO), 150 cc",2011,Merah Abu - abu,4081982
8BZFRV,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,GL15A1D M/T,2010,Hitam Abu - abu,2578000
NDCXFG,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Minerva,R 150,2011,Merah Putih,2888999
K05PO8,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 12A 1CF M/T, 125 cc",2012,Violet,3250000
VSWYXT,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,GL 15 A 1D M/T,2012,Hitam Abu - abu,4215000
0P2VTU,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Mitsubishi,"FE 73 HD, 3.908 cc",2010,Kuning,69899000
1THPLF,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 11B2D1, 110 cc",2011,Hitam,1234569
J3IZYE,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Toyota,"Dyna 130 HT, 4009 cc",2012,Merah,17989000
4UIQNC,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Suzuki,FL 125 RCD 125CC,2010,Biru Hitam,1200000
YVLW2D,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,GL 200 D 200 cc,2011,Hitam,4756250
JKGIW3,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 125 TR, 125 cc",2010,Silver Biru,2800000
RIAXF2,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1RR M/T, 150 cc",2012,Biru Hitam,7625792
NAYKDI,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 125 TR, 125 cc",2010,Hitam,1875500
JVI4X8,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Suzuki,APV 1.493 cc,2012,Abu - abu Metalik,46890000
WKB0NI,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 11B2D1, 110 cc",2011,Hitam Biru,1678999
UNHTW3,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NC 11B3C A/T, 110 cc",2012,Hitam,4500000
EUTXJR,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Suzuki,FL 125 RCD 125CC,2010,Biru Hitam,2584150
M0FDG4,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 125 TR, 125 cc",2012,Violet,2400000
VJOVEK,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL15A1D M/T, 150 cc",2010,Hitam,2578000
JO7E0T,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL15A1RR M/T, 150 cc",2012,Hitam,3509500
XROGTM,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1RR M/T, 150 cc",2012,Biru Hitam,5185000
L2SBZI,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 125 TD, 125 cc",2011,Hitam Merah,3500000
PIBT6C,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Isuzu,"NKR 71 CC E2-1, 4.570 cc",2011,Putih Biru,27550500
IDYIMZ,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,GL 15 A 1RR M/T,2012,Hitam,2245678
NVSKQY,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"GL 15 A 1RR M/T, 150 cc",2011,Hitam Abu - abu,5724000
9PLCNQ,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 125 TR, 125 cc",2012,Hitam,5511173
J8TZ59,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 11B1D M/T, 110 cc",2009,Merah Silver,3573920
GOZJKG,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,"NF 11B2D1, 110 cc",2012,Hitam,2500000
1IXTUM,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,NF 11,2009,Merah Silver,1234569
P2VRKZ,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN SABU RAIJUA,KPKNL Kupang,3,3,Honda,GL15B1DF M/T,2013,Abu - abu ,4025000
BTJUAX,Motor ,2022,SULAWESI SELATAN,KOTA PAREPARE,KPKNL Parepare,3,3,Suzuki,FD 125 XSD,2007,Putih Hitam,2576888
YPA6V5,Motor ,2022,SULAWESI SELATAN,KOTA PAREPARE,KPKNL Parepare,3,3,Suzuki,EN 125 (Thunder),2006,Biru,2125700
CSH06Q,Mobil ,2022,JAMBI,KOTA JAMBI,KPKNL Jambi,3,3,Isuzu,TBR 54 F Turbo LV,2010,Hitam,94133000
FKHIV3,Motor ,2022,SULAWESI SELATAN,KOTA PAREPARE,KPKNL Parepare,3,3,Suzuki,FD 125 XRM,2006,Kuning Hitam,2529790
F0PTGB,Mobil ,2022,JAMBI,KOTA JAMBI,KPKNL Jambi,3,3,Isuzu,TBR 54 F Turbo LV,2009,Hitam,95040000
JZNQDX,Motor ,2022,SULAWESI SELATAN,KOTA PAREPARE,KPKNL Parepare,3,3,Honda,GLM II,1996,Hitam,2575700
BC8LVF,Motor ,2022,SULAWESI SELATAN,KOTA PAREPARE,KPKNL Parepare,3,3,Suzuki,FD 110 (Shogun),1999,Hitam,855700
DMGRNY,Motor ,2022,SULAWESI SELATAN,KABUPATEN LUWU,KPKNL Palopo,3,3,Honda,NF 100,1999,Hijau,2666999
T4CRBW,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta V,2,2,Nissan,Grand Livina 1.5 SV A/T,2012,Abu - abu Metalik,62889999
IUK4NA,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN PENAJAM PASER UTARA,KPKNL Balikpapan,3,3,Mazda,6,2007,Putih,15936000
C62UVK,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta V,2,2,Toyota,Avanza 1500 S,2007,Hitam Metalik,68159999
RMDGHJ,Motor ,2022,LAMPUNG,KABUPATEN LAMPUNG SELATAN,KPKNL Bandar Lampung,3,3,Honda,NF 125,2009,Hitam,4777787
QGO87A,Mobil ,2022,DI YOGYAKARTA,KABUPATEN SLEMAN,KPKNL Yogyakarta,3,3,Toyota,Kijang ,1985,Stone Grey,7686999
NUZCMH,Motor ,2022,LAMPUNG,KABUPATEN LAMPUNG SELATAN,KPKNL Bandar Lampung,3,3,Honda,GLP III Mega Pro 160 cc,2006,Hitam,4567889
UXPXFQ,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta V,2,2,Nissan,X Trail,2011,Hitam,91303360
HXUTSN,Mobil ,2022,DI YOGYAKARTA,KABUPATEN SLEMAN,KPKNL Yogyakarta,3,3,Toyota,Kijang  13004-XXIV,1985,Stone Grey,8111111
T2QFBO,Motor ,2022,LAMPUNG,KABUPATEN LAMPUNG SELATAN,KPKNL Bandar Lampung,3,3,Honda,NF 100 SL,2006,Hitam Silver,2612728
KT9M0U,Mobil ,2022,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta V,2,2,Toyota ,Kijang  Innova E,2011,Abu - abu Metalik,112372300
6DZLRF,Motor ,2022,LAMPUNG,KABUPATEN LAMPUNG SELATAN,KPKNL Bandar Lampung,3,3,Honda,New Mega Pro CW GL15A1RR MT 150 cc ,2011,Hitam Abu - abu,5678910
L2WEAK,Mobil ,2022,KALIMANTAN TIMUR,KABUPATEN PENAJAM PASER UTARA,KPKNL Balikpapan,3,3,Nissan,X Trail,2005,Hitam,20431000
8GOFJV,Motor ,2022,LAMPUNG,KABUPATEN LAMPUNG SELATAN,KPKNL Bandar Lampung,3,3,Honda,New Tiger CW 200 cc,2010,Merah,6168728
KLNEFA,Motor ,2022,LAMPUNG,KABUPATEN LAMPUNG SELATAN,KPKNL Bandar Lampung,3,3,Honda,GLP III Mega Pro 160 cc,2006,Hitam,5569728
