KODE,KATEGORI OBJEK,TAHUN LELANG,PROVINSI,KOTA,KPKNL,kategori_lokasi_jan_jun,kategori_lokasi_jul_des,MEREK,TIPE,TAHUN PEMBUATAN,WARNA, HARGA LAKU 
Q610A5,Motor ,2024,LAMPUNG,KABUPATEN PRINGSEWU,KPKNL Bandar Lampung,3,3,Yamaha,VEGA ZR ,2012,Merah,1088000
XJYSCN,Mobil ,2024,RIAU,KABUPATEN INDRAGIRI HILIR,KPKNL Pekanbaru,3,3,Toyota, Innova XW42 ,2010,Hitam Metalik,58400000
A8ROGV,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Honda,GL 160 D ,2010,Hitam,3010000
HPILF8,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Yamaha,55S (T135SEC) ,2015,Hitam,4035000
IGLRVN,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Honda,CB15A1RRF M/T,2013,Hitam,6765300
KO5NG7,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Yamaha,55S (T135SEC) ,2015,Hitam,3202100
0RTPK4,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Yamaha,55S (T135SEC),2012,Hitam,3550500
9ELTYU,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Honda, NF 125 YD,2010,Hitam,6600000
7X9GHW,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Honda,GL 160 D ,2009,Hitam,3030000
FUEQ9Y,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Honda,NF 125 YD,2010,Hitam,7405000
B0KZPA,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Yamaha,55S (T135SEC) ,2012,Hitam,3500500
OSK3XD,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Honda, NF125YD,2010,Hitam,7050000
TLJA4P,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Yamaha,55S (T135SEC),2015,Hitam,2700000
T8AOCX,Motor ,2024,SUMATERA UTARA,KABUPATEN TAPANULI UTARA,KPKNL Padang Sidempuan,3,3,Honda,GL 160 D,2010,Hitam,3440500
